"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-28",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-29",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-30",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-01",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-02",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-03",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-04",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-05",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-06",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-07",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-08",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-09",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-10",,,"57",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-11",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-12",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-13",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-14",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-15",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-16",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-17",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-18",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-19",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-20",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-21",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-22",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-23",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-24",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-25",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-26",,,"56",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-27",,,"56",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-28",,,"56",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-29",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-30",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-07-31",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-01",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-02",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-03",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-04",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-05",,,"57",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-06",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-07",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-08",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-09",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-10",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-11",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-12",,,"55",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-13",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-14",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-15",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-16",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-17",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-18",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-19",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-20",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-21",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-22",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-23",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-24",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-25",,,"58",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-26",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-27",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-28",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-29",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-30",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-08-31",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-01",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-02",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-03",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-04",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-05",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-06",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-07",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-08",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-09",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-10",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-11",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-12",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-13",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-14",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-15",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-16",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-17",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-18",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-19",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-20",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-21",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-22",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-23",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-24",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-25",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-26",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-27",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-28",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-29",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-09-30",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-01",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-02",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-03",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-04",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-05",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-06",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-07",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-08",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-09",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-10",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-11",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-12",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-14",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-15",,,"69",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-17",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-18",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-19",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-20",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-21",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-22",,,"68",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-23",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-24",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-25",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-26",,,"59",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-27",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-28",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-29",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-30",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-10-31",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-01",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-02",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-03",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-04",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-05",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-06",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-07",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-08",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-09",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-11",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-12",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-13",,,"66",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-14",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-11-15",,,"67",,
